cleanmgr,磁盘清理工具
certmgr.msc,证书管理实用程序
dfrg.msc,磁盘管理实用程序
dfrg.msc,磁盘碎片整理程序
perfmon.msc,组策略结果集
compmgmt.msc,计算机管理
devmgmt.msc,设备管理器
diskmgmt.msc,磁盘管理实用工具
eventvwr.msc,事件查看器
fsmgmt.msc,共享文件夹管理器
gpedit.msc,组策略
lusrmgr.msc,本机用户和组
services.msc,本地服务设置
sysedit,系统配置编辑器
sigverif,文件签名验证程序
shrpubw,创建共享文件夹
mstsc,远程桌面管理连接
msconfig,系统配置实用程序
logoff,注销命令
dcomcnfg,打开系统组件服务
msconfig,启动系统配置实用程序
calc,启动计算器
chkdsk,磁盘检查
cmd,命令提示符
clipbrd,剪贴板查看器
explorer,打开资源管理器
mspaint,画图板
mmc,打开控制台
mobsync,同步命令
notepad,打开记事本
nslookup,网络管理的工具向导
narrator,屏幕“讲述人”
netstat,检查网络接口
optionafeatures,打开“打开或关闭Windows功能”
oks,打开屏幕键盘
regedit,注册表


